Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,7.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,12.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,9.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,5.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,9.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,11.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,8.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,5.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,11.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,8.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,5.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,17.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,8.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,5.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,4.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,4.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,4.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,4.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,14.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,5.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,4.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,19.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,1.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,5.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,10.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,2.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,4.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,2.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,10.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,18.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,10,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,11.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,6.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Honduras,HND,..,..,..,..,..,..,..,..,..,..,7.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,4.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,6.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,5.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,10.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,6.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,9.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,8.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,3.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,9.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,11.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,5.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,12.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,6.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,3.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,22.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,6.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,6.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,12.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,6.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,6.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,11.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,4.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,10.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,9.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,3.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,4.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,4.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,4.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,16.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,9.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Mali,MLI,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,8.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,30.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,7.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,22,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,13.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,11.9,..
