country,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,32.4,,,36.4,31.4,37.3,30.8,27.6,27,23.8,,,22.7,20.8,18.7,16.6,15.7,14.4,13.4,12.1,12,11.1,11.1
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,,,,,,,,39.7,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,26.9,,,,,,,,15.4,,,
Costa Rica,,,,,,,,,,,,,,43.1,,,,,27.3,,,22.5,19.7,23.7,20.5,16.4,13.9,14.5,17,14.1,11.4,13.4,13.9,10.9,10,9.8,9.3,8,7.8,5.4,5.3,5.7,4.2,4.4,4.3,4.2,4,4.1,3.8,2.9,3.7
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0,0,0,0.1,0.1,0,0,0.2,0.2,0.1,0.1,0.1,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0.2,,,,,,0,,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0,0.1,0.1,
Germany,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.2,0.2,,,0,,0.2,0,0,0.2,0.2,0,0,0,0.2,0,0.2,0,,0,,0,0.2,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,,,,,,,,,,38,44.2,,,,39.8,
Denmark,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.7,,,0.2,,,,,0,,,0.4,0.3,0.3,0.2,0.3,0.4,0.6,0.1,0,0,0.3,0.2,0.2,0.3,0.2,
Dominican Republic,,,,,,,,,,,,,,,,,,,13.5,,,30.9,,,17.7,,,,13.5,12.6,,,12.9,12.3,14,17.1,22.5,16.4,13.8,13.3,13.7,12.3,12,10.4,11.1,10.1,7.8,6.4,5.9,3.8,2.6
Algeria,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,23.5,,,,,,,,,,,,,,,,3.7,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,,,40.3,50,,,30.2,31.9,25.4,19.8,19.2,18.2,17.2,14.8,12.2,11.5,10.1,8.6,9.4,9.4,8.7,9.7
Egypt,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,41.6,,,,26.7,,,,,35.4,,,,33.5,,23.7,,19,,,18.2,,28.9,
Spain,,,,,,,,,,,,,1.7,,,,,1.2,,,,,1,,,,,1.7,,,,,0.7,,,1.2,1.3,1.1,1.1,0.7,0.9,1.1,1.1,1.7,1.6,1.7,1.5,1.5,1.7,1.1,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,2.7,1.6,1.3,0.8,0.7,1.1,1.6,1.6,1.3,1.5,1.2,0.9,0.7,0.5,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1,,,,91,,,,,80.2,,,,,,74.5,,,,,70.5,,,
Finland,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,0,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,10.9,,,,,7.5,,,,,
France,,,,,,,,,,,1.5,,,,,,2,,,,,1.2,,,,,0.2,,,,,,0.2,,,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,,,,38.7,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,,,,,11.2,
United Kingdom,,0.5,,,,,0.2,,,,,0.5,,,,,,,1.2,,,,,0.5,,,0.5,1.2,,,,0.5,,,,,0.6,0.8,0.4,0.5,0.5,0.3,0.3,0.5,0.2,0.2,0.3,0.3,0.3,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,35.8,34.6,41.3,44.2,46.4,29.9,30.1,27.8,30.1,30.1,32.5,28.9,28.9,30.6,28.3,25.4,20.8,17.8,15.7,16.1,16.1,15.5
Ghana,,,,,,,,,,,,,,,,,,,,75,74.2,,,78.3,,,,,,,62.9,,,,,,,49.3,,,,,,,31.9,,,,30.1,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,98.5,,,73.8,,,,,,,,84.5,,,,,82.6,,,,,70.9,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,,,,,69.8,,,,,,,53.5,,,,,38.4,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,63.8,,87.1,,,,,,,,,84.5,,,,,,,,85.4,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,1,,,0.7,1,0.5,0.9,0.8,0.5,0.7,1.3,2,2.9,2.7,3,2.9,2.1,1.6,
Guatemala,,,,,,,,,,,,,,,,,,,68.8,,,54.2,,,,,,,,,28.3,,22.4,,,,,,24.3,,,,,,,,24.4,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,54.9,,,,,,25.2,,,,,,,,,,,,,,,,,,,,
