,Origin,Dest,Month,Prediction,lower,upper,origin_lon,origin_lat,dest_lon,dest_lat,dest_p_no_outbreak,risk_ij,risk_i,dest_municipality,dest_name,dest_region,dest_continent
20099,DTW,DCA,10,32945,32106,33807.0,-83.36,42.21,-77.04,38.85,1.0,0.0,0.09255956941629317,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20100,EWR,DCA,10,10159,9708,10631.0,-74.18,40.69,-77.04,38.85,1.0,0.0,0.09213670987637756,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20101,FLL,DCA,10,26138,25238,27070.0,-80.14,26.07,-77.04,38.85,1.0,0.0,0.10259958294568572,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20102,GRR,DCA,10,1039,999,1081.0,-85.53,42.89,-77.04,38.85,1.0,0.0,0.004044268707504628,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20103,GSO,DCA,10,2092,2018,2169.0,-79.94,36.11,-77.04,38.85,1.0,0.0,0.007947708103212214,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20104,GSP,DCA,10,2433,2318,2555.0,-82.22,34.89,-77.04,38.85,1.0,0.0,0.0032970099718940826,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20105,HPN,DCA,10,4196,4022,4377.0,-73.7,41.07,-77.04,38.85,1.0,0.0,0.0019209552056760337,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20106,HSV,DCA,10,7950,7677,8232.0,-86.77,34.65,-77.04,38.85,1.0,0.0,0.0007017380673898233,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20107,IAD,DCA,10,79,53,116.0,-77.45,38.95,-77.04,38.85,1.0,0.0,0.10703267692035845,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20108,IAH,DCA,10,28158,27388,28949.0,-95.34,29.98,-77.04,38.85,1.0,0.0,0.1233751909090608,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20109,ILM,DCA,10,111,93,131.0,-77.91,34.27,-77.04,38.85,1.0,0.0,0.001819866952168403,Washington,Ronald Reagan Washington National Airport,US-DC,NA
