country,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,47.1,,,,55.5,,,58.9,54.1,60.8,53.8,51.5,51.3,47.2,,,42.7,41.5,38.7,35.8,34.5,32.4,30.3,29.2,29,28.1,28.2
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,,,,,,,,,,64.6,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4,,,,,,53.7,,,,,,,,41.3,,,
Costa Rica,,,,,,,,,,,,,,66.2,,,,,55.7,,,43.4,40.7,45.3,42,35.9,30.9,32.2,35.6,33.1,27.8,30.6,30.5,23.9,23,22.4,23.1,21,20.5,16.3,15.9,15.6,13.2,13.7,12.7,12.8,12.3,12,11,10,11.2
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0,0.1,0,0.1,0.2,0.1,0.1,0.2,0.3,0.1,0.1,0.1,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,,,1.2,,,,,,0.5,,1,0.6,0.6,0.5,0.3,0.6,0.7,0.6,0.6,0.5,0.6,0.3,0.6,0.4,
Germany,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.5,0.5,,,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,,0.2,,0.2,0.5,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,,,,,,,,,,68.1,74.5,,,,70.2,
Denmark,,,,,,,,,,,,,,,,,,,,1.2,,,,,1,,,0.2,,,,,0.2,,,0.4,0.4,0.5,0.3,0.5,0.7,0.9,0.2,0.6,0.2,0.6,0.7,0.4,0.4,0.2,
Dominican Republic,,,,,,,,,,,,,,,,,,,28.5,,,54.8,,,40.8,,,,32,29.6,,,30.2,30.1,30.6,38.5,45.8,36.8,33.7,33.4,34.5,31.7,31.8,31,30.8,29.9,25.2,21.8,19.9,15.9,13.9
Algeria,,,,,,,,,,,,,,,,,,,,,57,,,,,,,54.6,,,,,,,,,,,,,,,,28.6,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,,,,,63.4,72.7,,,53.4,54.9,46.5,41.3,40.4,38.2,38.2,34.4,30.2,27.5,27.2,23.8,24.8,24,23.3,24.2
Egypt,,,,,,,,,,,,,,,,,,,,,,,78.8,,,,,81.8,,,,70.4,,,,,77.7,,,,77.4,,70.5,,67.7,,,64.4,,72.6,
Spain,,,,,,,,,,,,,6.5,,,,,6.5,,,,,2.7,,,,,4.2,,,,,1.5,,,2.1,2.1,2.3,2.4,1.5,1.7,2.3,2.3,2.8,3.1,3.4,2.9,3.2,3.2,2.2,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,8.2,5.5,3.1,2.3,2.2,2.9,3.9,3.4,3.5,3.5,3,1.8,1.4,1,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,,,97.8,,,,,95.9,,,,,,93.5,,,,,90.7,,,
Finland,,,,,,,,,,,,,,,,,,,,0.2,,,,0.2,,,,0.2,,,,,0.2,,,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,,,,,,37.3,,,,,35.8,,,,,
France,,,,,,,,,,,2.2,,,,,,3,,,,,1.7,,,,,0.2,,,,,,0.2,,,0.4,0.2,0.2,0.2,0.1,0.1,0.3,0.3,0.2,0.3,0.2,0.1,0.3,0.2,0.1,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,,,,,,,,69.1,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1,,,,,,,,,,,,32.2,
