country,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,16.7,,,20.4,16.8,19.9,14.5,12.2,11.1,9.9,,,10.6,9.1,7.9,6.4,6.3,5.8,5.2,4.7,4.7,4,4.2
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,19.1,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,8.4,,,,,,,,3.4,,,
Costa Rica,,,,,,,,,,,,,,25.1,,,,,13.5,,,12.3,10.2,11.8,9.7,8.1,6.8,7,8.1,6.6,5.1,6.6,6.7,4.9,4.6,4.5,4.4,3.2,3.2,1.8,2.3,2.4,1.6,1.7,1.7,1.6,1.5,1.5,1.3,1.1,1.5
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,0,,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,
Germany,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.2,0.2,,,0,,0,0,0,0,0,0,0,0,0.2,0,0,0,,0,,0,0,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,,,,18.2,22.3,,,,17,
Denmark,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,0,,,,,0,,,0.3,0.3,0.3,0.1,0,0.1,0.5,0.1,0,0,0.3,0.2,0.2,0.3,0.1,
Dominican Republic,,,,,,,,,,,,,,,,,,,5.2,,,13.4,,,5.3,,,,4.9,5.2,,,5.5,3.9,5.6,6.7,8.5,5.7,4.4,4.4,3.7,3.2,2.5,2.9,2.6,2.2,2.1,1.8,1.6,0.7,0.4
Algeria,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,5.6,,,,,,,,,,,,,,,,0.4,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,21.9,28.4,,,14.5,15.1,11.9,8.1,8.5,7.5,7.2,5.6,4.7,4.5,3.2,2.6,3.5,3.6,3.2,3.3
Egypt,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,5.6,,,,2.4,,,,,5.2,,,,4.7,,2.2,,1.5,,,1.6,,3.8,
Spain,,,,,,,,,,,,,0.5,,,,,0.2,,,,,0.5,,,,,1.2,,,,,0.5,,,0.8,0.8,0.8,0.8,0.4,0.5,0.8,0.7,1.1,0.9,1.2,0.8,0.9,1.2,0.7,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1,0.8,0.7,0.4,0.4,0.6,0.7,1,0.7,0.8,0.7,0.6,0.5,0.3,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3,,,,63.4,,,,,39.2,,,,,,35.2,,,,,32.6,,,
Finland,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,0,,,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,1.6,,,,,0.5,,,,,
France,,,,,,,,,,,1,,,,,,1.5,,,,,1,,,,,0,,,,,,0,,,0.2,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,15.4,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,3.4,
United Kingdom,,0.2,,,,,0.2,,,,,0.2,,,,,,,0.7,,,,,0.2,,,0.2,1,,,,0.2,,,,,0.4,0.5,0.2,0.3,0.3,0.2,0.1,0.4,0.2,0.2,0.2,0.1,0.2,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,15.9,14.5,18.5,19.2,19,10.3,10.4,9.9,10.7,10.3,11.6,10.2,10.1,12,11.1,8.5,6.4,4.9,3.7,3.8,5,4.5
Ghana,,,,,,,,,,,,,,,,,,,,41.8,41.6,,,49.2,,,,,,,35.1,,,,,,,24.1,,,,,,,11.6,,,,13,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,49.8,,,,,,,,63,,,,,60.3,,,,,36.1,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,,,,,46.1,,,,,,,25.4,,,,,10.3,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,44.3,,66.6,,,,,,,,,56.6,,,,,,,,68.4,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,0.5,,,0.5,0.7,0.3,0.6,0.5,0.3,0.6,1,1.2,1.5,1,1.5,1.4,1.1,0.9,
Guatemala,,,,,,,,,,,,,,,,,,,48.8,,,36.3,,,,,,,,,13.5,,9.3,,,,,,11.2,,,,,,,,8.8,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,11.7,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,42.9,45,34.1,29.2,24.3,27,28.2,31.4,21.8,26.6,26.8,,22,23.9,28.5,27.7,27.1,23,17.6,16.9,14.2,15.6,17.4,20.1,17.7,16.4,16.6,18.4,17.6,16.9
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.2,0.7,0.8,0.7,1,0.6,0.6,0.5,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.7,0.1,0.1,0,0.1,0.1,0.1,0.3,0.1,0.6,0.6,1.3,0.6,
Indonesia,,,,,,,,,,,,,,,,,68.5,,,68.2,,,54.9,,,54.8,,,43.6,,63.2,37.4,34.9,31.2,19,19.3,21,18,23.9,19.3,19,15.5,13.3,10.9,9.5,7.3,6.2,5.8,5.2,4.5,3.6
India,,,,,,,,,,63.1,,,,,,56.4,,,,50.6,,,,,,47.6,,,,,,,,,,,39.9,,,,,32.8,,22.5,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.2,0.2,0.2,,,,0.2,,,0.1,0,0,0.4,0.1,0.2,0.4,0.5,0.5,0.2,0.7,0.4,0.3,0.1,,
Iran,,,,,,,,,,,,,,,,,,,8,,,,6.7,,,,4,,,,3.4,,,,,,,0.6,0.5,,,1.1,,,,0.1,0.4,0.4,0.4,0.3,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,1.7,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,,,
Israel,,,,,,,,,,,,0,,,,,,,0.2,,,,,,0.2,,,,,0.2,,,,0.2,,,,0.5,,0.5,,,0.2,,0.5,,0.5,,0.2,,
Italy,,,,,,,,,,,,,,,,,,,0.2,1.2,,0,,0.2,,1.2,,0.7,,,1.7,,1.2,,,0.8,0.6,0.6,0.7,0.7,0.7,0.9,1.3,1.2,1.2,1.4,1.2,1.9,1.6,1.4,
Jamaica,,,,,,,,,,,,,,,,,,,,,6.1,,4.6,,,9.7,,,3.4,,,2.6,,,2.7,,1.7,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,0,,,,,,2.7,,,,,1.5,,,,,1,,,,0.3,,0.1,,0.1,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0,,,0.7,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,8.9,5.6,3.7,1.7,5.8,0.5,0.2,0,0.1,0.1,0,0,0,0,0,0,0,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,31.7,,,32.2,,,,,,,,43.9,,,,,,,,,,37.1,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,,35.1,31.4,28.3,22.3,9.9,12.1,7.3,7.9,2.9,1.4,2.8,0.9,2.5,2.2,0.9,1.8,1,1.1,0.6
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,0.5,,0.2,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,3.5,3.6,,,3.2,2.5,1.7,0.6,0.3,1,0.7,0.8,0.4,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,,,50.4,,,,,31.8,,,,,25.5,,,,,21.2,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,,,,,,,41.7,,44.4,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,4.6,,
Sri Lanka,,,,,,,,,,,,,,,,,,14.1,,,,,9.3,,,,,9.5,,,,,,,8.8,,,,4,,,2.7,,,2.1,,,,0.9,,
Lesotho,,,,,,,,,,,,,,,,,,,50,,,,,,,,50.6,,,,,,,,61.9,,,,,,,,,,,,,,,27.8,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.8,1.5,1.3,1.4,2.2,1.5,0.7,0.9,0.7,1.3,0.7,1.3,1,
Luxembourg,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,0,,,0,,,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.3,0.1,0.3,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.3,1.5,0.6,1.2,1.7,1.6,1,1,1.1,0.8,0.6,0.6,0.8,
Morocco,,,,,,,,,,,,,,,,,10.6,,,,,,2.6,,,,,,,,7.1,,5.8,,,,,,3,,,,,,,0.9,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,26.9,38,35.1,26.9,16.1,7.4,8.4,13.6,2.4,1.1,1.2,1,0.5,0.3,0.3,0.1,0,0,0.2,0.1,0
